username,component_id,source_type,source_file,posts,followers,follower_segment,avg_likes,avg_comments,categories,primary_category,top_hashtags,account_type,account_confidence,creator_score,business_score,media_score
samriddhisdiary,1,profile_scrape,scrape_1776872304.json,12,8676.0,nano,216.42,63.08,finans_is,finans_is,"startup,strategicthinking,mba,businesshacks,businessmodel,student,achivement,greathings,viralbrand,iceframework",creator,0.75,1.0,0.0,0.0
saninbabybutik,1,profile_scrape,scrape_1776937431.json,12,54.0,nano,3.25,0.0,"anne_bebek,moda_yasam,evcil_hayvan",anne_bebek,"bebekmodası,bebekgiyim,keşfetteyiz,kaliteliürün,uygunfiyat,bebekstili,yenidoğanalışverişi,hamile,bebekanneleri,cicibebek",creator,0.93,1.9,1.2,0.0
sartino.italy,1,profile_scrape,scrape_1776868726.json,8,56.0,nano,-1.0,0.0,moda_yasam,moda_yasam,"erkekgiyim,menswear,casual,kombin,tarz",creator,0.77,1.1,0.3,0.0
sassy.aken,1,profile_scrape,scrape_1776868866.json,6,1.0,nano,1.5,0.0,"ev_yasam,egitim_kariyer",ev_yasam,"iphone17promax,instagrammers,xoxo💋,happyday,viralreels,lovemesomeme,BeachVibes,GoldenHour,OceanMood,SummerGlow",creator,0.83,1.4,0.0,0.0
satya.khadka_,1,profile_scrape,scrape_1776872304.json,8,4326.0,nano,169.75,18.38,moda_yasam,moda_yasam,"explore,fyp,post,trending,fyb,navratri,ootd,trendingnow,outfit,mountain",creator,0.93,1.9,0.0,0.0
scholarship.plz,1,profile_scrape,scrape_1776869679.json,11,7.0,nano,1.55,0.0,"egitim_kariyer,ev_yasam",egitim_kariyer,"studywithme,studygram,studymotivation",creator,0.93,1.9,0.0,0.0
sciencewithjahir,1,profile_scrape,scrape_1776790071.json,7,179486.0,mid,1148.43,9.71,"ev_yasam,egitim_kariyer",ev_yasam,"physics,science,sciencewithjahir,studygram,inertia,learnphysics,electricity,magnetisme,ohm,scientist",creator,0.73,0.9,0.0,0.0
scooter.n.friends,1,profile_scrape,scrape_1776790071.json,1,1764.0,nano,43.0,4.0,"evcil_hayvan,egitim_kariyer",evcil_hayvan,"cat,catsofnyc,catlover,catsofinstagram,mewyork",creator,0.93,1.9,0.0,0.0
senizmutfak,1,profile_scrape,scrape_1776869679.json,11,35212.0,micro,145.36,190.91,yemek_mutfak,yemek_mutfak,"keşfet,nefisyemektarifleri,bayram,kurbanbayramı,düzen,düzeniseviyorum,kaşıksalatası,fypシ,malatya,fyp",creator,0.93,1.9,0.0,0.0
sergio.valencia.r,1,profile_scrape,scrape_1776790071.json,3,1021.0,nano,16.0,0.0,"fitness_saglik,moda_yasam",fitness_saglik,"bodybuildierlifestyle,muscle,fitness,fitnessnutrition,fitnesslife,motivaciongym,fitnessmotivation,fitnessworld,fitnessstyle,nevergiveup",creator,0.77,1.1,0.0,0.0
sevilayovali,1,profile_scrape,scrape_1776937104.json,12,1273.0,nano,21.58,0.17,"yemek_mutfak,evcil_hayvan",yemek_mutfak,"aşkla,sepet,dolusu,saglikliyasam,sagliklibesleniyorum,doğalyumurta,kendimlebaşbaşa,birkahve,kahvezamanı,kahvesözleri",creator,0.77,1.1,0.0,0.0
sevilennmutfakk,1,profile_scrape,scrape_1776868726.json,8,5216.0,nano,213.5,21.75,yemek_mutfak,yemek_mutfak,"keşfetteyiz,tatlıtarifleri,kurabiye,damlaçikolatalıkurabiye,kolaytarif,pratiktarifler,reels,ekler,pratiktatlılar,yemek",creator,0.93,1.9,0.0,0.0
sevvalb.s,1,profile_scrape,scrape_1776936742.json,12,1078.0,nano,229.75,13.42,egitim_kariyer,egitim_kariyer,"fyp,kesfetteyiz,beniöneçikart,yks,reklam,keșfet,studywithme,kesfet,isbirligi,keşfet",creator,0.83,1.4,0.0,0.0
shai.learns.japanese,1,profile_scrape,scrape_1776936742.json,12,2406.0,nano,123.58,6.58,"egitim_kariyer,ev_yasam",egitim_kariyer,"fyp,studygram,japanese,notsponsored,viral,study,learnjapanese,JapaneseLearning,TobiraTextbook,StudygramSpotlight",creator,0.93,1.9,0.0,0.0
sharedworldnews,1,profile_scrape,scrape_1776937431.json,12,18.0,nano,0.92,1.0,evcil_hayvan,evcil_hayvan,"Dünya,SosyalMedya,Doğumİzni,TBMM,Güvenlik,İsrail,Gündem,AralGolu,Cevre,Kazakistan",creator,0.85,1.5,0.0,1.4
shixuexi,1,profile_scrape,scrape_1776790071.json,8,67.0,nano,16.12,0.0,"egitim_kariyer,ev_yasam",egitim_kariyer,"study,studygram,studyaccount,studychinese,studyinspiration,studyvlog,studywithme,studymotivation",creator,0.93,1.9,0.0,0.0
shushucum,1,profile_scrape,scrape_1776936742.json,12,348.0,nano,44.42,8.0,yemek_mutfak,yemek_mutfak,"reklam,lezzet,mutfak,tarif,kahve,muffin,kek,yemektarifleri,bazlamatarifi,nefisyemektarifleri",creator,0.93,1.9,0.0,0.0
sikhi_pedia01,1,profile_scrape,scrape_1776937266.json,12,2.0,nano,0.17,0.17,"moda_yasam,ev_yasam,seyahat_gezi",moda_yasam,"lifestyle,SikhRiders,facebook,viral,FBlifestyle,usa,SikhKirtan,Waheguru,SikhHistory,Legacy",creator,0.83,1.4,0.0,0.0
siliconbeachstories,1,profile_scrape,scrape_1776936742.json,12,57.0,nano,14.0,0.08,finans_is,finans_is,"entrepreneur,startup,india,trending,bestoftheday,trendingnow,post,story,festival,motivation",creator,0.75,1.0,0.0,0.0
sinaptikbosluuk,1,profile_scrape,scrape_1776790071.json,2,5.0,nano,3.0,0.0,"egitim_kariyer,ev_yasam",egitim_kariyer,"studywithme,studygram,studynotes,yksnotlari,dersnotlarim",creator,0.93,1.9,0.0,0.0
sinem.direkk,1,profile_scrape,scrape_1776869679.json,8,1409.0,nano,30609.62,21.0,"anne_bebek,otomotiv",anne_bebek,"keşfetteyiz,fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,wedding,reels,fypppppppppppppppシ゚viral,kesfet,bebek,kesfetteyiz,düğün,düğünfotoğrafçısı",creator,0.75,1.0,0.0,0.0
sinemuzunbeslenme,1,profile_scrape,scrape_1776937104.json,12,1316.0,nano,33.67,2.5,guzellik_kozmetik,guzellik_kozmetik,"sinemuzunbeslenme,sağlık,keşfetteyim,keşfetteyiz,kesfet,kesfetteyiz,tv,girişimcilik,farkındalık,LifeAndBeautyMag",creator,0.83,1.4,0.0,0.0
siskonyazilimveotomasyon,1,profile_scrape,scrape_1776937104.json,12,1076.0,nano,37.92,0.0,"otomotiv,taki_aksesuar",otomotiv,"Siskon,Yazilim,Otomasyon,MakesYourFactorySmarter,Digital,Cloud,Software,Manufacturing,Tailormade,IoT",creator,0.75,1.0,0.0,0.0
