username,community_id,external_neighbor_count,betweenness_centrality
siskonyazilimveotomasyon,1,1,0.002129
telefonhub_,7,1,0.002115
apogeewp1,7,1,0.000418
bilkentalks,7,1,0.000418
cflmun,7,1,0.000418
financezirovnice,7,1,0.000418
k3studiosae,7,1,0.000418
karaglassstudio,7,1,0.000418
motaz_hayani,7,1,0.000418
reefunitynetwork,7,1,0.000418
samriddhisdiary,7,1,0.000418
udrescueduard,7,1,0.000418
upscalerts,7,1,0.000418
hardline.iq,7,1,9.6e-05
rocdz_,7,1,9.6e-05
